city,state,city_lat,city_lon,city_coord
AGRO CAFEEIRA,PR,-25.1943862,-53.9433081,"-25.1943862,-53.9433081"
ALTO DO AMPARO,PR,-24.7416689,-50.5404834,"-24.7416689,-50.5404834"
AMPARO,SP,-22.70111,-46.76444,"-22.70111,-46.76444"
AMPERE,PR,-25.9168712,-53.4742414,"-25.9168712,-53.4742414"
ANDIRA,PR,-23.0494761,-50.2310027,"-23.0494761,-50.2310027"
ANTONINA,PR,-25.4298854,-48.7125431,"-25.4298854,-48.7125431"
APUCARANA,PR,-23.5525327,-51.4610764,"-23.5525327,-51.4610764"
ARACATUBA,SC,-28.1261461,-48.6909657,"-28.1261461,-48.6909657"
ARARANGUA,SC,-28.9348832,-49.4858389,"-28.9348832,-49.4858389"
ASSIS CHATEAUBRIAND,PR,-24.4054826,-53.5120468,"-24.4054826,-53.5120468"
BAGE,RS,-31.3314264,-54.1062808,"-31.3314264,-54.1062808"
BALNEARIO CAMBORIU,SC,-26.9924395,-48.6339782,"-26.9924395,-48.6339782"
BARRACAO,PR,-26.252395,-53.6349576,"-26.252395,-53.6349576"
BARREIRAS,BA,-12.1440031,-44.9967406,"-12.1440031,-44.9967406"
BELEM,PA,-1.45056,-48.4682453,"-1.45056,-48.4682453"
BRAGANCA PAULISTA,SP,-22.9520235,-46.5418586,"-22.9520235,-46.5418586"
BRASILIA,DF,-15.7934036,-47.8823172,"-15.7934036,-47.8823172"
CAETANO MENDES,PR,-24.6277664,-50.6436472,"-24.6277664,-50.6436472"
CAFELANDIA,PR,-24.6176963,-53.3218057,"-24.6176963,-53.3218057"
CAIOBA,PR,-25.8312233,-48.5397306,"-25.8312233,-48.5397306"
CAJATI,SP,-24.7272376,-48.1077914,"-24.7272376,-48.1077914"
CAMPINAS,SP,-22.90556,-47.06083,"-22.90556,-47.06083"
CAMPO GRANDE,MS,-20.4845788,-54.6123204,"-20.4845788,-54.6123204"
CAMPO LARGO,PR,-25.4597726,-49.5270851,"-25.4597726,-49.5270851"
CANDOI,PR,-25.5711951,-52.051107,"-25.5711951,-52.051107"
CANTAGALO,PR,-25.3735238,-52.1238114,"-25.3735238,-52.1238114"
CAPANEMA,PR,-25.6704878,-53.8083036,"-25.6704878,-53.8083036"
CAPAO DA CANOA,RS,-29.7508278,-50.0210729,"-29.7508278,-50.0210729"
CARUARU,PE,-8.2829702,-35.9722852,"-8.2829702,-35.9722852"
CASCAVEL,PR,-24.9554996,-53.4560544,"-24.9554996,-53.4560544"
CASTRO,PR,-24.794072,-49.9972914,"-24.794072,-49.9972914"
CEU AZUL,PR,-25.1484973,-53.8494214,"-25.1484973,-53.8494214"
CHAPECO,SC,-27.0922364,-52.6166878,"-27.0922364,-52.6166878"
CHOPINZINHO,PR,-25.8566167,-52.5294107,"-25.8566167,-52.5294107"
CLEVELANDIA,PR,-26.404065,-52.3513972,"-26.404065,-52.3513972"
CORBELIA,PR,-24.7951117,-53.2961804,"-24.7951117,-53.2961804"
CORNELIO PROCOPIO,PR,-23.1825218,-50.6499263,"-23.1825218,-50.6499263"
CORONEL VIVIDA,PR,-25.9803771,-52.5654277,"-25.9803771,-52.5654277"
CRICIUMA,SC,-28.6789941,-49.3695627,"-28.6789941,-49.3695627"
CUIABA,MT,-15.5986686,-56.0991301,"-15.5986686,-56.0991301"
CURITIBA,PR,-25.4295963,-49.2712724,"-25.4295963,-49.2712724"
DOIS VIZINHOS,PR,-25.7464681,-53.0554369,"-25.7464681,-53.0554369"
